FIRST NAME,LAST NAME,STREET ADDRESS,ADDRESS 2,ZIP ,CITY,STATE,TYPE OF RESIDENCE,EMAIL ADDRESS,PRIMARY PHONE,Primary isCell,Primary allowText,SECONDARY PHONE,Secondary isCell,Secondary allowText,EMERGENCY CONTACT NAME,EMERGENCY CONTACT PHONE,RELATIONSHIP TO CLIENT,MOBILITY ASSISTANCE,OTHER LIMITATIONS,CAR HEIGHT NEEDED,SERVICE ANIMAL,BREED,SIZE,OXYGEN,ALLERGIES,PICK UP INSTRUCTIONS,COMMENTS,Date Enrolled ,CLIENT STATUS,temp date,LIVE ALONE,MONTH & YEAR OF BIRTH,M/F,HOW DID THEY HEAR ABOUT US?,Data1_ClientName,Data2,Data3
William,Wyatt,495 French Meadows Ln,Apt. 18,14618,Rochester,NY,apt,,554-210-9619,,,,,,RonnieWyatt,621-5263,son,heavy walker w. seat,,low,N,,,N,dogs,,,6/30/2024,Active,,N,12/1942,M,,William Wyatt,,
Janet,Gonzalez,78 Sanders Farm Dr,,14625,Penfield,NY,house,janet_gonzalez@gmail.com,236-9534,,,,,,MarshallGonzalez,683-387-6829,lifespan coordinator, ,,low;med;high,N,,,N,cats,,,3/21/2025,Temporary Thru,5/16/2025,Y,6/1942,F,Brochure,Janet Gonzalez,,
Rodney,May,52 Mallory Ln,Apt. 26,14625,Penfield,NY,apt,rodney_may@outlook.com,185-2881,,,,,,CalvinMay,867-5806,son,cane,,low;med;high,N,,,N,,,has car; doesn't drive in winter,9/16/2022,Active,,Y,6/1950,M,lifespan,Rodney May,,
Mary,Bernard,176 David Rd,,14620,Rochester,NY,townhouse,,982-5362,,,,,,JohnBernard,715-3171,son, ,,low;med;high,N,,,N,,,emergency contact books appts,5/15/2025,Temporary Thru,7/10/2025,Y,9/1938,F,JCC,Mary Bernard,,
Irene,Gutiérrez,340 Shaftsbury Rd,,14618,Rochester,NY,house,,719-350-3773,,,,,,PaulGutiérrez,519-5077,son, ,,low;med;high,N,,,N,,,prefers front seat,5/22/2017,Active,,Y,12/1943,F,,Irene Gutiérrez,,
Sharon,Miller,67 Snowberry Cir,Apt. 47,14625,Penfield,NY,apt,,879-835-6957,,,,,,JackieMiller,563-3570,daughter, ,,med,N,,,N,cats,"park at entrance, lights flashing",emergency contact books appts,3/29/2025,Temporary Thru,9/20/2025,Y,2/1946,F,Penfield Rec,Sharon Miller,,
David,Johnson,592 Brookshire Ln,Apt. 20,14625,Penfield,NY,apt,david_johnson@yahoo.com,472-1243,Y,,,,,MartinJohnson,302-7031,lifespan coordinator, ,phone before 5,low;med;high,N,,,N,,,,1/24/2023,Active,,Y,4/1941,M,Brighton Rec,David Johnson,,
Carol,Kelley,293 Watson Hulbert Rd,,14625,Penfield,NY,house,,965-4574,Y,,,,,SusanBarrett,200-1149,friend,cane,,low;med;high,N,,,N,,,has car; doesn't drive long distances,3/16/2018,Active,,Y,5/1942,F,Penfield Rec,Carol Kelley,,
Mildred,Jones,64 Knoll Top Dr,Apt. 54,14618,Rochester,NY,apt,,142-331-2237,,,,,,HaroldJones,524-3670,niece,alum walker,,low;med;high,N,,,N,,"park at entrance, lights flashing",Lifespan books appts,8/14/2025,Temporary Thru,2/5/2026,Y,6/1947,F,Penfield Rec,Mildred Jones,,
Mary,Smith,607 Easy St,,14623,Rochester,NY,house,mary_smith@rochester.rr.com,971-7368,Y,Y,,,,MarySmith,347-8298,daughter,heavy walker w. seat,,low;med;high,N,,,N,cats,Park outside garage,emergency contact books appts,8/17/2021,Active,,Y,2/1952,F,word of mouth,Mary Smith,,
Judy,Morse,362 Duffield Rd,,14620,Rochester,NY,house,,689-4284,Y,,918-6491,,,JoeMorse,637-379-3718,son,alum walker,,med;high,N,,,N,,,,11/1/2021,Active,,Y,5/1943,F,Penfield Rec,Judy Morse,,
Sharon,Bryant,63 Clintwood Dr,,14618,Rochester,NY,house,sharon_bryant@gmail.com,421-7830,,,,,,JamesBryant,652-1179,son, ,,low;med;high,N,,,N,,,,3/23/2018,Active,,Y,10/1946,F,Linden Knoll Staff,Sharon Bryant,,
Mary,Stephens,88 Empress Ct,,14625,Penfield,NY,house,,857-2285,,,,,,KathleenRodríguez,250-3339,daughter, ,no voicemail,med,N,,,N,smoke,phone when you arrive,,8/31/2019,Active,,N,4/1945,F,,Mary Stephens,,
Sara,Mejía,105 Woodland Hill,,14625,Penfield,NY,house,sara_mejía@rochester.rr.com,704-2114,Y,,,,,TimothyMejía,487-4116,son,cane,no voicemail,low;med;high,N,,,N,,,,4/11/2021,Active,,Y,7/1946,F,Brighton Rec,Sara Mejía,,
Ann,Williams,446 W Squire Dr,Apt. 78,14623,Rochester,NY,apt,ann_williams@gmail.com,857-906-7889,,,,,,BettyWilliams,830-7953,daughter,alum walker,,low,N,,,Y,,,,2/24/2022,Active,,N,10/1942,F,lifespan,Ann Williams,,
Wanda,Wilson,162 Songbird Ln,,14618,Rochester,NY,condo,,380-7221,,,,,,LillieWilson,679-6483,daughter, ,,low;med;high,N,,,N,,,,10/7/2024,Active,,Y,2/1946,F,word of mouth,Wanda Wilson,,
Harry,Carpenter,63 Random Knolls Dr,,14625,Penfield,NY,house,harry_carpenter@yahoo.com,436-3425,Y,Y,770-3725,,,NancyCarpenter,103-113-7958,daughter, ,,low,N,,,N,,,,4/9/2018,Active,,Y,8/1946,M,Brochure,Harry Carpenter,,
Annie,Peterson,164 Easy St,,14623,Rochester,NY,townhouse,,840-3520,,,,,,RebeccaPeterson,981-3806,daughter,alum walker,,med;high,N,,,N,,,has car; doesn't drive long distances,6/29/2022,Active,,Y,6/1941,F,Penfield Rec,Annie Peterson,,
Judith,Morton,78 Astor Dr,Apt. 46,14618,Rochester,NY,apt,,602-9334,,,,,,GaryMorton,987-4790,son,heavy walker w. seat,no voicemail,med;high,N,,,N,,,,5/29/2024,Active,,Y,11/1937,F,Brochure,Judith Morton,,
Elizabeth,Patterson,130 Valley Green Cir,Apt. 29,14625,Penfield,NY,apt,elizabeth_patterson@yahoo.com,793-7187,Y,,,,,FrancisPatterson,931-4847,niece, ,difficulty hearing,low;med;high,N,,,N,dogs,,has car; doesn't drive long distances,10/20/2018,Active,,Y,2/1941,F,,Elizabeth Patterson,,
Patricia,Moore,85 Northern Dr,Apt. 23,14620,Rochester,NY,apt,,941-8549,Y,,,,,RobertMoore,776-783-7540,son,alum walker,no voicemail,low;med;high,N,,,N,,,,4/20/2018,Active,,N,5/1941,F,lifespan,Patricia Moore,,
Barbara,López,217 Washington Dr,,14610,Rochester,NY,mobile home,barbara_lópez@gmail.com,183-3020,Y,,,,,TerryLópez,455-4730,husband, ,,high,N,,,N,,,Lifespan books appts,8/30/2020,Active,,Y,1/1945,F,,Barbara López,,
Sandra,DeLeon,328 Henderson Dr,Apt. 16,14625,Penfield,NY,apt,,166-6619,,,,,,StevenDeLeon,353-5967,son,alum walker,,low;med;high,N,,,N,,,,5/31/2025,Temporary Thru,11/15/2025,Y,8/1945,F,,Sandra DeLeon,,
Steven,Zamora,169 Brandt Point Dr,,14625,Penfield,NY,house,steven_zamora@gmail.com,764-3180,,,328-1964,,,TommyZamora,455-7306,son, ,,low,N,,,N,,,,4/30/2017,Active,,Y,1/1944,M,Brochure,Steven Zamora,,
Barbara,Pérez,1024 Glendonwood Dr,Apt. 1,14625,Penfield,NY,apt,,377-8824,,,,,,KennethPérez,607-198-9656,son,alum walker,no voicemail;difficulty hearing,med;high,N,,,N,,,,5/26/2022,Active,,N,2/1957,F,Brighton Rec,Barbara Pérez,,
Philip,McDonald,50 Hillary Ln,,14625,Penfield,NY,townhouse,,519-3509,Y,,,,,JudithPatterson,324-520-4807,daughter, ,,med;high,N,,,N,,,prefers front seat,9/9/2021,Active,,Y,12/1949,M,Linden Knoll Staff,Philip McDonald,,
Sharon,Rodríguez,149 Duffield Rd,,14618,Rochester,NY,house,,122-6413,Y,Y,,,,KarenBauer,740-5924,daughter, ,,low;med;high,N,,,N,,Park outside garage,,1/23/2024,Active,,Y,1/1945,F,Brighton Rec,Sharon Rodríguez,,
Helen,Haynes,209 Friendly Home,,14620,Rochester,NY,house,,476-802-3162,,,,,,RichardHaynes,397-8296,son,heavy walker w. seat,,med;high,N,,,N,,,over 90,5/10/2024,Active,,Y,10/1933,F,Brochure,Helen Haynes,,
Linda,Bryant,57 Northern Dr,,14623,Rochester,NY,house,,920-664-4961,Y,,,,,RobertBryant,748-8090,son, ,,low;med;high,N,,,N,,,,6/10/2019,Active,,Y,8/1942,F,Linden Knoll Staff,Linda Bryant,,
Mary,Schmidt,59 Brandt Point Dr,,14625,Penfield,NY,house,mary_schmidt@rochester.rr.com,639-4677,,,,,,CynthiaAguilar,677-2078,friend,alum walker,,med;high,N,,,N,,,,9/27/2020,Active,,Y,3/1940,F,Linden Knoll Staff,Mary Schmidt,,
Barbara,Wise,254 Spring Side Ln,Apt. 80,14625,Penfield,NY,apt,barbara_wise@yahoo.com,800-7686,,,,,,RaymondWise,455-1156,son,alum walker,,low;med;high,N,,,N,,,,5/14/2019,Active,,N,1/1946,F,word of mouth,Barbara Wise,,
Marilyn,Adams,309 Pine Brook Cir,,14625,Penfield,NY,mobile home,,572-9478,,,,,,RogerAdams,508-3874,son, ,,low;med;high,N,,,N,,,,9/23/2023,Active,,Y,5/1942,F,JCC,Marilyn Adams,,
Lynne,Carter,51 Sylvia Rd,,14618,Rochester,NY,house,lynne_carter@yahoo.com,745-1906,Y,Y,,,,BarbaraMcKenzie,377-1293,daughter, ,no voicemail,med,N,,,N,,,has car; doesn't drive long distances,1/18/2021,Active,,Y,4/1944,F,word of mouth,Lynne Carter,,
Willard,Dixon,222 Rock Hill Rd,,14618,Rochester,NY,townhouse,willard_dixon@outlook.com,765-222-5216,Y,Y,,,,LoisHull,269-266-8487,daughter,alum walker,,med,N,,,N,,,,3/17/2019,Active,,N,12/1949,M,BriPen Driver,Willard Dixon,,
Linda,McDonald,599 Songbird Ln,Apt. 16,14620,Rochester,NY,apt,,259-5855,,,,,,MargieMcDonald,729-9195,daughter,heavy walker w. seat,,low;med;high,N,,,N,,,has car; doesn't drive in winter,1/11/2023,Active,,Y,5/1950,F,lifespan,Linda McDonald,,
Charles,Avila,78 Pamela Ln,Apt. 76,14620,Rochester,NY,apt,,411-6408,,,,,,MaryMeyer,126-7771,daughter, ,,low;med;high,N,,,N,,phone when you arrive,,2/6/2024,Active,,Y,10/1939,M,,Charles Avila,,
Carol,Howell,55 Valley Green Dr,,14625,Penfield,NY,house,carol_howell@rochester.rr.com,936-1261,Y,,759-4116,,,DavidHowell,660-4529,son,heavy walker w. seat,,high,N,,,N,,,,5/12/2018,Active,,N,1/1943,F,word of mouth,Carol Howell,,
Barbara,Walters,125 Northern Dr,,14620,Rochester,NY,house,,645-345-2151,,,,,,CharlesWalters,778-696-3578,nephew, ,,med;high,N,,,N,,,,7/12/2019,Active,,Y,6/1941,F,,Barbara Walters,,
Laura,Payne,86 Leonard Crescent,Apt. 54,14625,Penfield,NY,apt,,265-2209,,,,,,AllenPayne,934-1639,husband, ,no voicemail;difficulty hearing,med;high,N,,,N,cats,,,2/19/2025,Active,,Y,12/1947,F,word of mouth,Laura Payne,,
Linda,Grant,66 Samson Dr,Apt. 4,14625,Penfield,NY,apt,,666-549-7154,Y,Y,,,,ErnestGrant,213-1078,lifespan coordinator, ,,low;med;high,N,,,N,smoke,,emergency contact books appts,10/10/2022,Active,,N,1/1944,F,BriPen Driver,Linda Grant,,
Valerie,House,58 Easy St,,14620,Rochester,NY,townhouse,,615-2460,Y,,894-1160,,,RalphHouse,876-6246,husband, ,,med,N,,,N,,,,7/13/2023,Active,,Y,11/1941,F,Linden Knoll Staff,Valerie House,,
Linda,Williams,220 Garonoah Rd,Apt. 22,14610,Rochester,NY,apt,linda_williams@rochester.rr.com,617-7545,Y,Y,,,,KathrynSmith,867-5958,daughter, ,no voicemail,high,N,,,N,,,prefers front seat,6/20/2022,Active,,Y,11/1937,F,Internet,Linda Williams,,
Marsha,Tyler,63 Phaeton Dr,,14625,Penfield,NY,house,marsha_tyler@gmail.com,229-4175,,,,,,FrancisTyler,772-950-2400,son,cane,,med,N,,,N,,,emergency contact books appts,4/10/2020,Active,,Y,10/1949,F,,Marsha Tyler,,
James,Powell,892 Johnsarbor Dr,,14620,Rochester,NY,house,james_powell@gmail.com,801-3160,,,,,,JamesPowell,919-1682,niece, ,,med;high,N,,,N,,,,12/3/2020,Active,,Y,2/1940,M,word of mouth,James Powell,,
Rose,Walker,427 Garondah Rd,Apt. 43,14610,Rochester,NY,apt,rose_walker@outlook.com,233-1739,Y,,,,,DanWalker,478-282-6348,niece, ,no voicemail,low;med;high,N,,,N,,phone when you arrive,,1/18/2017,Active,,Y,4/1944,F,Internet,Rose Walker,,
Linda,Hall,55 Wexford Pl N,,14625,Penfield,NY,house,linda_hall@gmail.com,439-3108,,,,,,MargaretWest,557-466-7719,daughter,heavy walker,,med;high,N,,,N,,,,1/17/2018,Active,,Y,4/1940,F,,Linda Hall,,
Janie,Miranda,87 Hunters Ln,Apt. 20,14620,Rochester,NY,apt,,876-895-7680,Y,Y,,,,JohnMiranda,981-7280,son, ,no voicemail,low;med;high,N,,,N,,,,3/31/2022,Active,,Y,5/1944,F,Penfield Rec,Janie Miranda,,
Gary,Gonzales,69 Valley Green Cir,,14625,Penfield,NY,house,,882-1368,Y,Y,350-5900,,,DaveGonzales,205-5308,husband, ,,low;med;high,N,,,N,,,,9/9/2018,Active,,Y,2/1939,M,Penfield Rec,Gary Gonzales,,
Gary,Taylor,117 Belvue Ct,,14625,Penfield,NY,house,gary_taylor@rochester.rr.com,917-4532,Y,Y,401-6714,,,JoanMorales,894-844-8374,wife, ,difficulty hearing;phone before 5,low;med;high,N,,,N,,,,3/15/2022,Active,,N,3/1941,M,BriPen Driver,Gary Taylor,,
Betty,Johnson,64 Penview Dr,,14625,Penfield,NY,townhouse,,188-1742,,,,,,PatriciaCameron,904-6624,daughter,alum walker,no voicemail;phone before 5,med,N,,,N,,,has car; doesn't drive long distances,10/21/2021,Active,,Y,6/1951,F,Brochure,Betty Johnson,,
Gloria,Shaffer,646 Hickory Pond Dr,Apt. 83,14625,Penfield,NY,apt,,502-4423,,,,,,JamesShaffer,523-786-3936,lifespan coordinator, ,,low;med;high,N,,,N,,,over 90;prefers front seat,3/26/2017,Active,,Y,2/1933,F,BriPen Driver,Gloria Shaffer,,
Deborah,Huerta,3397 Meadowlark Dr,,14625,Penfield,NY,house,,705-7685,,,,,,CharlesHuerta,516-558-1441,son,cane,,low,N,,,N,cats,,,7/22/2020,Active,,Y,6/1939,F,Brochure,Deborah Huerta,,
Patricia,Barrett,140 Splendor Wood Dr,Apt. 20,14625,Penfield,NY,apt,,230-136-9703,Y,,224-7986,,,WilliamBarrett,398-5445,lifespan coordinator,alum walker,,med;high,N,,,N,,,,7/1/2018,Active,,Y,9/1947,F,Linden Knoll Staff,Patricia Barrett,,
Norman,Farmer,60 Le Marc Ct,Apt. 72,14610,Rochester,NY,apt,,358-2647,Y,Y,,,,LeonFarmer,887-3700,son, ,,low;med;high,N,,,N,,,,12/8/2017,Active,,Y,10/1944,M,Brochure,Norman Farmer,,
Herbert,Green,656 Rue De Ville,,14618,Rochester,NY,house,,315-8719,,,,,,AliceLindsey,546-838-4612,daughter, ,,low,N,,,N,cats,,,10/17/2018,Active,,Y,5/1956,M,Penfield Rec,Herbert Green,,
Linda,Gibbs,57 Bremen Cir,Apt. 54,14625,Penfield,NY,apt,,213-8281,Y,,248-1047,,,DonaldGibbs,981-6342,son,cane,difficulty hearing,high,N,,,N,,,,3/16/2018,Active,,Y,9/1940,F,Brochure,Linda Gibbs,,
Diane,Hall,50 Dublin Rd,,14625,Penfield,NY,house,diane_hall@yahoo.com,486-3525,Y,,,,,BettyWebster,533-9569,wife,alum walker,phone before 5,med;high,N,,,N,,,,7/4/2025,Active,,N,7/1938,F,word of mouth,Diane Hall,,
Richard,Torres,3011 Acorn Dr,,14625,Penfield,NY,house,richard_torres@gmail.com,414-4018,Y,,,,,WandaSmith,735-1074,friend, ,,high,N,,,N,,,,10/13/2021,Active,,Y,6/1947,M,,Richard Torres,,
Judith,Benson,818 Rainbow Rd,Apt. 18,14618,Rochester,NY,apt,judith_benson@rochester.rr.com,787-9980,Y,,,,,CharlesBenson,152-1890,son,cane,no voicemail,low;med;high,N,,,N,,,over 90,7/16/2025,Temporary Thru,1/28/2026,N,11/1933,F,Linden Knoll Staff,Judith Benson,,
Linda,Meza,141 Locust Hill Apartment,Apt. 5,14610,Rochester,NY,apt,linda_meza@outlook.com,348-220-4456,Y,Y,,,,MarionMeza,405-5818,daughter,cane,,high,N,,,N,,,has car; doesn't drive in winter,11/11/2020,Active,,Y,11/1942,F,,Linda Meza,,
Robert,Wilson,2133 Suburban Ct,Apt. 88,14620,Rochester,NY,apt,robert_wilson@outlook.com,843-9956,,,660-795-8890,Y,,LarryWilson,600-6009,son, ,,low;med;high,N,,,N,,,over 90;Lifespan books appts,4/10/2023,Active,,N,12/1932,M,word of mouth,Robert Wilson,,
Carol,Delacruz,63 Dear Ln,,14610,Rochester,NY,house,,727-7435,,,,,,BeverlyDelacruz,446-4955,daughter, ,,high,N,,,N,smoke,Park outside garage,,3/1/2020,Inactive,,Y,9/1941,F,Brochure,Carol Delacruz,,
Christine,Roberson,94 Autumn Oak Cir,,14625,Penfield,NY,house,christine_roberson@yahoo.com,395-1195,,,559-8546,Y,,CynthiaRodríguez,266-798-6136,friend,alum walker,no voicemail,low;med;high,N,,,N,,phone when you arrive,,8/9/2022,Active,,Y,8/1949,F,Penfield Rec,Christine Roberson,,
Linda,Riley,54 Suburban Ct,,14610,Rochester,NY,house,linda_riley@yahoo.com,276-2274,Y,,702-5732,,,MichaelRiley,683-1393,husband,alum walker,,low;med;high,N,,,Y,,,,2/3/2024,Inactive,,Y,4/1945,F,lifespan,Linda Riley,,
Dwight,Moses,73 Maple Hill Farm Rd,,14625,Penfield,NY,house,dwight_moses@outlook.com,950-890-1207,,,121-4893,,,VirginiaValdez,530-7982,daughter, ,,low;med;high,N,,,N,,,,5/21/2021,Inactive,,Y,5/1946,M,Penfield Rec,Dwight Moses,,
Gregory,Díaz,55 Brandon Woods Dr,,14618,Rochester,NY,house,,876-4534,Y,Y,220-2265,,,EdwinDíaz,311-605-2040,son, ,,high,Y,mixed,50,N,,"park at entrance, lights flashing",,1/8/2018,Active,,Y,5/1947,M,word of mouth,Gregory Díaz,,
Rose,Phelps,77 Grandmas Pond Rd,Apt. 49,14623,Rochester,NY,apt,rose_phelps@rochester.rr.com,318-2830,,,,,,BettyHill,506-5672,daughter, ,,med;high,N,,,N,cats,,,2/23/2022,Active,,Y,11/1952,F,Brochure,Rose Phelps,,
Stephen,Price,57 Whitestone Ln N,Apt. 43,14623,Rochester,NY,apt,stephen_price@gmail.com,923-9724,,,,,,ElaineRoberts,641-9999,daughter,cane,,low;med;high,N,,,N,,,,2/17/2020,Active,,Y,11/1940,M,Penfield Rec,Stephen Price,,
Maxine,Hardin,74 Field Oak Ln,Apt. 26,14625,Penfield,NY,apt,,352-1767,,,,,,CharlesHardin,332-6170,husband, ,,med,N,,,N,,,,3/17/2020,Active,,Y,7/1940,F,word of mouth,Maxine Hardin,,
Judith,Harvey,800 Rock Hill Rd,,14610,Rochester,NY,mobile home,,952-4029,Y,Y,,,,PhilipHarvey,291-8814,son,alum walker,,med;high,N,,,N,,,prefers front seat,7/7/2017,Inactive,,N,2/1943,F,word of mouth,Judith Harvey,,
Janice,Ward,111 Burt La Fountain Rd,Apt. 24,14620,Rochester,NY,apt,janice_ward@outlook.com,741-9553,Y,,684-590-4050,,,CharlesWard,602-4877,sister, ,,high,N,,,N,,,prefers front seat,7/22/2021,Active,,N,7/1944,F,,Janice Ward,,
Dennis,Caldwell,147 Katsura Ct,,14625,Penfield,NY,house,dennis_caldwell@gmail.com,605-799-3143,,,,,,BettyCaldwell,371-602-1627,daughter,cane,poor vision,low,N,,,N,,,,7/19/2024,Active,,Y,11/1956,M,lifespan,Dennis Caldwell,,
Ida,Larson,50 Mountain Ln,Apt. 57,14625,Penfield,NY,apt,,328-4776,,,,,,CliffordLarson,165-5481,son,cane,no voicemail,med,N,,,N,,,has car; doesn't drive long distances,4/16/2019,Active,,Y,2/1957,F,,Ida Larson,,
Diana,Williams,68 Glazer Dr,Apt. 57,14625,Penfield,NY,apt,,753-8711,Y,,,,,CharlesWilliams,884-5394,niece,alum walker,,low;med;high,N,,,N,cats,,,10/10/2022,Active,,N,4/1940,F,,Diana Williams,,
Linda,Walton,70 Todd Ln,Apt. 3,14625,Penfield,NY,apt,,123-5395,,,,,,GeorgeWalton,121-8894,son, ,,low,N,,,N,,"park at entrance, lights flashing",,1/4/2019,Active,,Y,11/1937,F,word of mouth,Linda Walton,,
Hazel,Young,282 Locust Hill Apartment,,14618,Rochester,NY,house,,779-732-4997,Y,,386-7637,,,MarciaGriffith,591-652-8872,friend, ,,med;high,N,,,N,cats,,,3/12/2017,Active,,Y,2/1948,F,Brochure,Hazel Young,,
Ernest,Ball,138 Park Cir,,14610,Rochester,NY,house,,799-4109,,,,,,KarenVelázquez,677-284-8033,daughter, ,,med;high,N,,,N,,,has car; doesn't drive long distances,6/9/2022,Active,,Y,5/1944,M,,Ernest Ball,,
Don,Gentry,236 Summit Cir Dr,,14618,Rochester,NY,house,,907-7620,Y,Y,,,,PaulGentry,607-4343,son,cane,,med,N,,,N,,,emergency contact books appts,4/1/2018,Inactive,,Y,12/1947,M,BriPen Driver,Don Gentry,,
Rosa,Ramírez,114 Suburban Ct,,14620,Rochester,NY,house,rosa_ramírez@gmail.com,711-1661,,,,,,JoyceChavez,854-8673,wife,heavy walker w. seat,,low;med;high,N,,,N,,,,8/1/2018,Active,,Y,12/1943,F,,Rosa Ramírez,,
Patricia,Patton,317 Berman St,,14618,Rochester,NY,house,,977-6227,,,,,,ShirleyMcCoy,193-3809,daughter, ,difficulty hearing,high,N,,,N,,,,11/26/2022,Active,,Y,1/1949,F,,Patricia Patton,,
Willie,Bautista,260 Parham Dr,,14625,Penfield,NY,townhouse,,371-1629,Y,,,,,BarbaraTorres,845-6521,daughter,cane,,high,N,,,N,,,emergency contact books appts,4/23/2023,Active,,Y,4/1949,M,Brochure,Willie Bautista,,
Thomas,Reyes,213 Johnsarbor Dr,,14620,Rochester,NY,house,thomas_reyes@yahoo.com,884-4288,Y,,,,,EdwinReyes,740-469-4239,son, ,,low,N,,,N,,,,5/15/2018,Active,,Y,4/1955,M,word of mouth,Thomas Reyes,,
Carolyn,Johnson,792 Haudenosaunee Trail,Apt. 4,14618,Rochester,NY,apt,,344-1082,Y,Y,,,,WilliamJohnson,107-7671,son, ,,low;med;high,N,,,N,,,,11/20/2024,Active,,Y,8/1938,F,word of mouth,Carolyn Johnson,,
Patricia,Dominguez,206 Park Cir,,14623,Rochester,NY,house,,299-761-6450,Y,,,,,RonaldDominguez,260-2397,niece,heavy walker w. seat,,med;high,N,,,N,,,prefers front seat,6/12/2025,Active,,Y,2/1947,F,Penfield Rec,Patricia Dominguez,,
William,Khan,73 Nevele Creek,,14625,Penfield,NY,house,,865-1838,Y,,,,,ClaudiaRhodes,377-5885,wife,cane,,low,N,,,N,,,over 90,9/21/2019,Active,,N,11/1933,M,Penfield Rec,William Khan,,
Barbara,López,535 Easy St,,14623,Rochester,NY,mobile home,barbara_lópez@rochester.rr.com,290-6056,,,,,,JesseLópez,410-7927,niece,alum walker,,high,N,,,N,,,,9/5/2017,Active,,Y,11/1951,F,,Barbara López,,
Marsha,Chavez,166 Woodland Hill,Apt. 10,14625,Penfield,NY,apt,,318-2969,Y,Y,,,,RonnieChavez,727-1857,son,cane,,low;med;high,N,,,N,,"park at entrance, lights flashing",,7/10/2024,Active,,Y,2/1946,F,,Marsha Chavez,,
Elaine,Dougherty,253 Devonshire Dr,,14625,Penfield,NY,house,,227-9273,Y,,,,,EllenGarcia,299-566-9853,daughter, ,,low;med;high,N,,,N,,"park at entrance, lights flashing",,11/14/2021,Active,,Y,6/1942,F,,Elaine Dougherty,,
Theresa,Good,92 Wildflower Ln,Apt. 60,14625,Penfield,NY,apt,theresa_good@yahoo.com,833-3678,,,,,,DanielGood,937-4014,son,alum walker,difficulty hearing,med,N,,,N,,,,8/6/2021,Active,,Y,1/1939,F,JCC,Theresa Good,,
Linda,Cooper,68 Flower Valley Cir,Apt. 12,14625,Penfield,NY,apt,linda_cooper@rochester.rr.com,913-1588,Y,Y,,,,DavidCooper,605-964-9062,son,alum walker,difficulty hearing,low;med;high,N,,,N,,,has car; doesn't drive long distances,10/22/2017,Active,,Y,12/1950,F,Brochure,Linda Cooper,,
Catherine,Peña,428 Pinnacle Hill Rd,Apt. 31,14620,Rochester,NY,apt,catherine_peña@gmail.com,649-5602,,,,,,MariaReese,563-2192,daughter, ,,high,N,,,N,,,has car; doesn't drive long distances,1/20/2023,Active,,N,5/1946,F,Linden Knoll Staff,Catherine Peña,,
Linda,Luna,63 Northern Dr,,14610,Rochester,NY,house,,356-9386,,,839-5593,Y,Y,DaleLuna,719-335-9939,niece,heavy walker,,low;med;high,N,,,N,,,,12/8/2021,Active,,N,9/1940,F,word of mouth,Linda Luna,,
James,Medrano,181 Parkington Meadow,,14625,Penfield,NY,house,,125-3357,Y,Y,,,,MichaelMedrano,331-4001,son, ,no voicemail,med;high,N,,,N,,,,6/12/2021,Active,,Y,11/1940,M,BriPen Driver,James Medrano,,
Annie,Newton,72 Mapleview Cir,,14625,Penfield,NY,condo,,209-8863,Y,Y,,,,RaymondNewton,952-940-1052,niece, ,,low;med;high,N,,,N,,,,4/1/2025,Active,,Y,8/1943,F,Brochure,Annie Newton,,
Cathy,O'Connor,213 Mckenna Trail,,14625,Penfield,NY,house,,118-4814,Y,Y,,,,MichaelO'Connor,159-3704,son, ,,med;high,N,,,N,,,,9/24/2017,Active,,Y,8/1942,F,BriPen Driver,Cathy O'Connor,,
Leslie,Stanley,128 Brandt Point Dr,Apt. 44,14625,Penfield,NY,apt,leslie_stanley@yahoo.com,404-302-6157,Y,,,,,MichaelStanley,286-9439,sister,heavy walker w. seat,,low,N,,,N,,,over 90;Lifespan books appts,11/6/2019,Active,,Y,3/1934,F,,Leslie Stanley,,
Allan,James,218 Carob Ct,,14625,Penfield,NY,house,allan_james@outlook.com,912-742-1707,Y,Y,,,,ShirleyTaylor,985-7933,daughter, ,,med,N,,,N,,,,2/3/2023,Inactive,,Y,10/1947,M,JCC,Allan James,,
Robert,Randall,255 David Rd,,14610,Rochester,NY,mobile home,,250-2228,,,,,,JimRandall,251-5620,niece, ,no voicemail,low;med;high,N,,,N,,,has car; doesn't drive long distances,12/7/2021,Active,,Y,8/1951,M,BriPen Driver,Robert Randall,,
Paulette,Willis,93 Easy St,,14625,Penfield,NY,mobile home,,379-555-2049,,,,,,SandraWillis,400-6611,daughter, ,,low;med;high,N,,,N,,,,8/17/2025,Active,,N,9/1944,F,Penfield Rec,Paulette Willis,,
Joyce,Kelly,86 Clintwood Ct,,14620,Rochester,NY,house,,769-3095,,,,,,KennethKelly,238-4613,son,alum walker,,low,N,,,N,,,over 90,2/13/2021,Active,,Y,9/1932,F,,Joyce Kelly,,
Peggy,Moreno,125 Tebbutt Rd,Apt. 57,14623,Rochester,NY,apt,peggy_moreno@rochester.rr.com,157-6013,,,,,,JosephMoreno,973-6383,nephew,alum walker,,med;high,N,,,N,,,,3/28/2025,Temporary Thru,8/1/2025,N,12/1939,F,word of mouth,Peggy Moreno,,
