VOLUNTEER POSITION,FIRST NAME,LAST NAME,User ID,PASSWORD,MONTH & YEAR OF BIRTH,STREET ADDRESS,ADDRESS 2,ZIP,CITY,STATE,VOLUNTEERING STATUS,EMAIL ADDRESS,PRIMARY PHONE,primary isCell,primary can text,SECONDARY PHONE,secondary isCell,secondary canText,CONTACT TYPE PREFERENCE,EMERGENCY CONTACT NAME,EMERGENCY CONTACT PHONE,RELATIONSHIP TO VOLUNTEER,COMMENTS,DRIVER AVAILABILITY BY DAY & TIME,TYPE OF VEHICLE,Allergens in Car,COLOR,SEAT HEIGHT FROM GROUND,MAX RIDES/WEEK,TOWN PREFERENCE FOR CLIENT RESIDENCE,DESTINATION LIMITATIONS,CLIENT PREFERENCE FOR DRIVERS,MILEAGE REIMBURSEMENT,HOW DID THEY HEAR ABOUT US?,WHEN TRAINED BY LIFESPAN,WHEN ORIENTED TO POSITION,DATE BEGAN VOLUNTEERING,Data1_fromDate,Data2_toDate,Data3
driver,Jeanne,Peters,JPeters,.s6.vx5lkfoqd,2/1973,66 Glendonwood Dr,,14625,Penfield,NY,Active,jeanne_peters@gmail.com,288-8842,Y,Y,886-2538,,,text,Michael Robinson,649-787-6891,son,,F09;F10;F14;F15;F16;M11;M12;M14;M15;M16;T09;T11;T15;Th11;Th15;Th16;W12;W16,SUV,,gray,25,2,,,,N,word of mouth,4/20/2024,8/13/2025,9/5/2025,10/21/2025,12/28/2025,
driver,Charles,Dunn,CDunn,#.ugj32p6r5.jbc,11/1974,200 Songbird Ln,,14610,Rochester,NY,Active,charles_dunn@rochester.rr.com,671-365-9935,Y,Y,,,,email,Mary Gonzalez,609-1202,daughter,,F09;F12;F15;F16;M09;M10;M11;M13;M15;M16;T09;T11;T12;T13;T15;T16;Th09;Th10;Th11;Th14;Th15;W09;W10;W11;W12;W15;W16,SUV,,gray,23,1,,,,Y,,11/4/2022,3/27/2025,6/11/2025,9/28/2025,12/14/2025,
driver,Anna,Villarreal,AVillarreal,eurp0bvr67,8/1960,191 Tebbutt Rd,,14623,Rochester,NY,on Leave until 12/31/2025,anna_villarreal@gmail.com,482-784-3342,,,,,,email,Janice Gutiérrez,969-7425,friend,,F10;F11;F12;F13;F14;F15;F16;M10;M13;M14;M15;M16;T10;T12;T13;T16;Th14;Th15;Th16;W11,SUV,cats,white,24,1,,,,N,word of mouth,4/29/2025,5/28/2025,6/4/2025,10/22/2025,11/3/2025,
driver,Michael,Smith,MSmith,zmubkvrqr,5/1974,58 Readonna Ln,,14625,Penfield,NY,Active,michael_smith@rochester.rr.com,498-2624,,,230-6057,,,email,Glenn Lu,560-4930,nephew,,F10;M14;T09;T14;Th13,Truck,,black,33,1,,,,N,Internet,11/21/2022,8/17/2025,9/8/2025,10/4/2025,1/9/2026,
driver,William,Matthews,WMatthews,l4hpnux2p8j8e,1/1969,78 Holley Brook Dr,,14625,Penfield,NY,Away from 11/23/2025 until 03/11/2026,william_matthews@yahoo.com,256-4342,Y,Y,,,,email,Carol Mitchell,921-8365,daughter,,F10;F12;F14;F16;M09;M12;M16;T10;T13;Th16;W09;W12,SUV,,black,24,3,,,,N,Brighton Rec,11/20/2024,1/3/2025,8/27/2025,11/23/2025,3/11/2026,
driver,Bonnie,Boyd,BBoyd4,2up2tg.lqsk,1/1961,106 Brentwood Dr,,14625,Penfield,NY,Active,bonnie_boyd@yahoo.com,128-8236,,,798-167-7399,Y,,email,James Gonzalez,635-2747,niece,,F09;F10;F15;M13;T12;T13;T14;Th11;Th13;W11;W14,SUV,cats,gold,26,4,,,,N,Brochure,8/5/2025,8/27/2025,9/8/2025,9/13/2025,12/10/2025,
driver,Richard,Williams,RWilliams,#_r03.7uayatx7,7/1962,54 Sawmill Dr,,14625,Penfield,NY,Active,richard_williams@rochester.rr.com,180-9109,Y,,,,,email,Emma Winters,572-3754,daughter,,F10;F12;F16;M11;M13;T11;T12;Th09;Th12;Th14;Th16;W09;W12;W14,sedan,,black,21,2,,,,N,lifespan,12/24/2024,5/8/2025,8/19/2025,12/22/2025,2/9/2026,
driver,Gloria,Marks,GMarks,u1y#3c#oqn3,7/1966,116 Honeysuckle Dr,,14625,Penfield,NY,Active,gloria_marks@yahoo.com,707-220-4302,Y,Y,,,,email,John Jones,757-5189,sister,,M10;T09;T11;T13;Th13;Th14;W12;W14,Truck,,gray,26,1,,Brighton,,Y,lifespan,5/5/2023,8/21/2025,9/7/2025,10/14/2025,12/19/2025,
driver,Sharon,Reid,SReid,pnw_cm.2a382,7/1969,55 Helmsford Way,,14625,Penfield,NY,Active,sharon_reid@rochester.rr.com,524-5066,Y,,,,,email,Marie Singh,612-4445,daughter,,F12;F15;M10;M12;M14;M16;T10;T12;T13;T15;Th09;Th11;Th14;Th15;Th16;W09;W13;W14;W16,SUV,,gray,26,1,Penfield,,,Y,,3/1/2025,8/9/2025,8/23/2025,10/12/2025,3/13/2026,
driver,Edward,Williams,EWilliams,#doa#_va9.,7/1963,61 David Rd,Apt. 44,14618,Rochester,NY,on Leave until 10/10/2025,edward_williams@yahoo.com,950-2302,,,121-696-6149,Y,Y,email,Arthur Murray,352-1028,apt mgr,,F09;F12;F14;F16;M09;M10;M15;M16;T09;T11;T13;T14;Th10;Th13;Th15;Th16;W09;W10;W11;W12;W14;W15,SUV,,black,26,3,,,,N,Internet,2/27/2024,3/27/2025,4/26/2025,11/1/2025,12/24/2025,
driver,Sharon,Parker,SParker979,re_yrthjw,10/1960,99 Hidden Meadows,,14625,Penfield,NY,Active,sharon_parker@yahoo.com,278-5913,,,,,,email,Mary Maldonado,613-3515,wife,,F09;F11;F14;F15;M12;T12;T14;T16;Th10;Th15;W09;W10;W13;W16,sedan,smoke,black,23,4,,,,Y,,9/20/2023,7/10/2025,8/29/2025,9/19/2025,12/30/2025,
driver,Mary,Stafford,MStafford,1aa6_367sch,6/1973,107 Clintwood Dr,Apt. 55,14610,Rochester,NY,Active,mary_stafford@outlook.com,763-3179,Y,Y,,,,text,James Muñoz,447-3934,son,,F09;F11;M10;M13;M15;M16;T09;T10;T12;Th12;Th13;Th14;Th16;W09;W10;W11;W13;W15,SUV,,white,26,4,,,Ronnie Torres;Marsha Chavez;Ernest Ball;Dwight Moses;Brenda Gordon,Y,Brighton Rec,5/16/2024,10/24/2024,7/5/2025,11/29/2025,4/28/2026,
driver,Nancy,Duke,NDuke,nvfxjii#26z9,6/1967,63 Random Knolls Dr,,14625,Penfield,NY,Away from 09/09/2025 until 10/24/2025,nancy_duke@gmail.com,966-3927,Y,,,,,text;call,Gregory Wright,770-2037,son,,F09;F11;F12;F14;F15;F16;M14;M15;T09;T10;T11;T13;T15;T16;Th09;Th11;Th12;Th14;Th15;W09;W10;W13;W15,sedan,,black,19,3,,,,N,Penfield Rec,1/5/2023,5/28/2025,6/27/2025,9/9/2025,10/24/2025,
driver,Carol,Patton,CPatton,xy8do#7tof,6/1971,121 Blossom Village Apartment,,14610,Rochester,NY,Active,carol_patton@gmail.com,510-7391,Y,,,,,email,Lynn Phillips,684-1584,friend,,F10;F12;F14;F16;M14;T10;T15;Th12;W09;W13;W15;W16,SUV,,white,25,2,,,,N,word of mouth,9/24/2022,12/12/2023,3/25/2025,9/26/2025,3/21/2026,
driver,Marilyn,Garcia,MGarcia,v7hg.hmx,2/1963,218 Park Cir,,14620,Rochester,NY,on Leave until 10/16/2025,marilyn_garcia@outlook.com,205-2605,Y,,683-5664,,,email,Jim Boone,976-5374,son,,F09;M15;M16;T15;Th09;W15,sedan,,white,20,2,,,,N,,3/26/2025,6/25/2025,6/26/2025,10/3/2025,3/20/2026,
enroller,Linda,Nichols,LNichols,6620thgcfe3,4/1968,70 Wilbur Rd,,14625,Penfield,NY,Resigned on 04/04/2024,linda_nichols@rochester.rr.com,416-5690,,,990-3908,,,email,Richard Cummings,106-5729,nephew,,F09;F10;F13;F14;F16;M13;M14;M15;T09;T12;T16;Th11;Th12;Th13;Th14;Th15;W16,sedan,,black,20,1,,,,Y,Brochure,7/4/2024,6/15/2025,7/15/2025,10/10/2025,10/30/2025,
driver,Frank,Lee,FLee,42o8kf.58,1/1978,232 Honeysuckle Dr,,14625,Penfield,NY,Active,frank_lee@gmail.com,306-7060,,,,,,email,Jackie Marshall,975-5133,son,,F09;F10;F11;F12;M10;M11;M13;M14;M16;T09;T11;T12;T13;Th09;Th12;Th14;Th16;W15,Truck,,white,33,2,,,,N,word of mouth,12/3/2022,7/1/2023,2/17/2024,10/1/2025,12/2/2025,
driver,Patrick,Lyons,PLyons,p#sg#irrx,3/1972,667 Grandmas Pond Rd,,14610,Rochester,NY,Active,patrick_lyons@rochester.rr.com,972-960-3222,,,,,,email,John Carter,731-4799,apt mgr,,F09;M11;T16;Th09;W09,SUV,cats,gray,25,3,,,,N,JCC,8/13/2025,8/16/2025,8/25/2025,11/9/2025,2/16/2026,
driver,Mary,Morgan,MMorgan,f2tx2i.ytf,12/1975,76 Hunters Ln,,14610,Rochester,NY,Resigned on 06/13/2023,mary_morgan@gmail.com,222-4121,,,,,,email,Wanda Lewis,341-7307,daughter,,F09;F10;F11;F13;F14;F16;M10;M11;M12;M15;M16;T10;T12;T15;T16;Th10;Th11;Th12;Th13;Th15;W09;W14;W16,sedan,,white,24,4,,,,Y,BriPen Driver,2/27/2025,4/13/2025,7/28/2025,9/2/2025,2/28/2026,
coordinator,Randall,Brooks,RBrooks234,f6takm10wt.j8p,10/1968,325 Brandon Woods Dr,,14610,Rochester,NY,Active,randall_brooks@yahoo.com,122-533-3764,Y,,,,,email,Marilyn Perry,374-7796,wife,,F10;F13;F15;M09;M12;M14;M15;M16;T10;T12;T13;T16;Th10;Th11;Th12;Th13;Th15;Th16;W10;W12;W13;W15,sedan,,black,20,3,,,,N,Linden Knoll Staff,3/5/2025,7/28/2025,9/6/2025,9/22/2025,1/14/2026,
